Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
71.043687	72.294118	72.235294	70.639462	70.781565	
71.043687	71.647059	71.882353	71.163706	70.818051	
71.043687	70.235294	71.235294	71.338454	70.969755	
71.043687	72.294118	73.235294	70.457033	70.771964	
71.043687	73.411765	72.647059	71.134902	70.961114	
71.172348	71.941176	72.235294	70.830533	71.172348	
71.172348	71.882353	72.529412	71.154105	70.933269	
71.172348	72.294118	71.235294	70.357177	71.144503	
71.204993	72.882353	72.705882	70.624100	71.204993	
71.204993	72.647059	71.647059	70.601056	71.140663	
71.204993	72.411765	73.941176	69.904945	71.204993	
71.204993	72.882353	72.117647	70.002880	70.923668	
71.204993	71.235294	71.882353	70.960154	70.831493	
71.204993	73.705882	72.529412	70.771964	70.942871	
71.204993	72.882353	72.647059	70.905425	70.969755	
71.204993	71.823529	71.705882	71.292367	70.919827	
71.204993	72.764706	73.058824	71.333653	71.108017	
71.204993	72.058824	72.764706	71.378781	71.116659	
71.208833	72.529412	72.411765	70.747960	71.208833	
71.208833	71.882353	71.941176	71.135862	71.034085	
71.208833	72.176471	71.705882	70.836294	71.204993	
71.208833	72.588235	73.000000	70.551128	71.108017	
71.208833	72.941176	73.588235	70.960154	71.053289	
71.241479	72.117647	71.470588	71.296207	71.241479	
71.384542	74.117647	73.764706	71.383581	71.384542	
71.518003	73.764706	74.117647	70.950552	71.518003	
71.518003	73.235294	71.882353	71.199232	71.093615	
71.518003	74.529412	75.588235	70.536726	71.448872	
71.518003	74.941176	75.294118	71.366299	71.269323	
71.518003	73.000000	72.764706	71.333653	71.320211	
71.568891	74.529412	73.058824	71.283725	71.568891	
71.568891	73.000000	73.058824	71.424868	71.393183	
71.568891	72.588235	73.176471	71.355737	71.503601	
71.568891	71.294118	72.764706	71.273164	71.467115	
71.568891	74.352941	73.117647	71.283725	71.499760	
71.596735	72.647059	72.294118	71.554489	71.596735	
71.702352	72.705882	73.823529	71.296207	71.702352	
71.702352	72.705882	73.235294	71.610178	71.521843	
71.702352	74.470588	73.411765	71.577532	71.656265	
71.702352	74.294118	73.647059	71.595775	71.674508	
71.702352	72.352941	71.764706	71.412386	71.402784	
71.771483	74.411765	73.764706	72.015362	71.771483	
71.771483	74.764706	74.176471	71.831013	71.623620	
71.807969	75.235294	74.411765	71.457513	71.807969	
71.807969	73.764706	73.470588	71.337494	71.596735	
71.807969	72.764706	74.117647	71.512242	71.609217	
71.807969	74.882353	73.588235	71.351896	71.590975	
71.807969	73.705882	74.705882	71.309650	71.793567	
71.807969	74.411765	73.882353	71.559289	71.752280	
71.807969	74.294118	74.705882	71.531445	71.600576	
71.807969	73.000000	72.941176	70.813250	71.780125	
71.918387	74.411765	74.705882	72.024964	71.918387	
71.918387	74.117647	74.352941	71.577532	71.710994	
71.918387	74.352941	73.529412	72.000960	71.895343	
71.918387	73.823529	73.647059	71.134902	71.793567	
72.047048	73.588235	73.705882	71.541047	72.047048	
72.066251	73.764706	74.235294	71.517043	72.066251	
72.066251	73.235294	73.588235	70.840134	71.826212	
72.134422	73.941176	74.235294	71.416227	72.134422	
72.134422	73.647059	74.411765	71.291407	71.770523	
72.134422	75.058824	74.588235	71.148344	71.729237	
72.134422	74.823529	74.352941	71.734037	71.587134	
72.134422	74.647059	74.764706	71.730197	71.954873	
72.134422	74.117647	73.235294	71.287566	71.913586	
72.134422	73.882353	74.411765	71.959674	71.913586	
72.134422	75.176471	75.117647	72.369659	71.973116	
72.134422	75.176471	76.470588	72.171867	71.812770	
72.134422	74.588235	74.352941	71.531445	71.997120	
72.134422	75.941176	76.352941	71.941431	71.623620	
72.134422	76.411765	75.117647	72.185310	71.936630	
72.134422	75.823529	75.235294	72.158425	71.895343	
72.134422	73.235294	72.411765	72.259241	71.780125	
72.134422	76.470588	74.647059	71.545847	71.807969	
72.134422	76.117647	76.176471	71.518003	71.890542	
72.134422	74.176471	74.176471	71.789726	71.840614	
72.134422	75.470588	74.176471	72.052808	71.904945	
72.134422	76.235294	75.470588	71.296207	72.033605	
72.134422	74.882353	75.941176	71.470955	71.839654	
72.134422	74.352941	74.588235	72.111378	71.780125	
72.134422	74.823529	75.705882	71.383581	72.000960	
72.134422	76.352941	75.411765	71.913586	71.977916	
72.134422	73.294118	74.117647	72.199712	72.020163	
72.134422	74.176471	74.941176	71.951032	71.789726	
72.134422	74.647059	73.352941	72.217955	72.074892	
72.134422	74.647059	74.588235	71.982717	71.946231	
72.134422	74.411765	73.764706	72.268843	71.831013	
72.134422	74.294118	73.588235	71.877100	71.839654	
72.134422	75.470588	75.000000	71.890542	71.872300	
72.134422	74.000000	74.588235	72.167067	72.070091	
72.134422	76.352941	75.705882	71.752280	71.959674	
72.134422	73.764706	74.764706	71.941431	71.826212	
72.134422	74.117647	73.470588	72.010562	72.120979	
72.134422	75.411765	74.764706	71.798368	72.000960	
72.134422	75.176471	75.352941	72.028805	71.954873	
72.134422	76.000000	75.235294	72.213154	72.005761	
72.134422	75.705882	75.764706	72.162266	72.005761	
72.134422	75.529412	75.529412	72.185310	71.977916	
72.134422	75.529412	75.411765	72.130581	71.803169	
72.134422	75.470588	75.823529	72.259241	72.020163	
72.134422	75.588235	75.352941	72.005761	71.844455	
72.259241	77.000000	75.588235	71.937590	72.259241	
72.259241	74.470588	73.470588	71.656265	71.997120	
72.259241	75.882353	76.705882	71.877100	72.061450	
72.259241	75.058824	74.941176	72.130581	72.070091	
72.259241	76.882353	75.294118	71.798368	71.780125	
72.259241	75.823529	75.235294	71.987518	71.992319	
72.259241	76.117647	76.235294	71.900144	72.107537	
72.259241	74.882353	75.294118	71.596735	71.900144	
72.259241	74.882353	75.058824	71.977916	72.047048	
72.259241	76.882353	76.882353	71.798368	71.964474	
72.259241	74.529412	75.941176	72.167067	72.056649	
72.259241	76.235294	75.823529	72.199712	72.213154	
72.259241	75.529412	76.058824	72.185310	72.139222	
72.259241	75.294118	75.117647	71.807969	71.881901	
72.259241	75.647059	76.235294	72.084494	71.946231	
72.259241	74.705882	75.411765	72.038406	71.807969	
72.259241	75.823529	76.117647	71.931829	72.070091	
